,precision,recall,f1-score,support
Apple,0.9900271985494107,0.9758713136729222,0.9828982898289829,1119.0
Banana,0.9966996699669967,0.9966996699669967,0.9966996699669967,303.0
Carambola,1.0,0.9951923076923077,0.9975903614457832,208.0
Guava,0.9979736575481256,1.0,0.9989858012170385,1970.0
Kiwi,0.9929577464788732,1.0,0.9964664310954063,846.0
Mango,0.9975186104218362,0.9663461538461539,0.9816849816849816,416.0
Orange,0.970873786407767,0.9966777408637874,0.9836065573770492,301.0
Peach,1.0,0.973384030418251,0.9865125240847784,263.0
Pear,0.9118541033434651,0.9966777408637874,0.9523809523809523,301.0
Persimmon,1.0,0.9903381642512077,0.9951456310679612,207.0
Pitaya,0.9960159362549801,1.0,0.998003992015968,250.0
Plum,1.0,1.0,1.0,230.0
Pomegranate,0.9817351598173516,0.9953703703703703,0.9885057471264368,216.0
Tomatoes,0.9954128440366973,1.0,0.9977011494252873,217.0
muskmelon,0.9948979591836735,0.9375,0.9653465346534653,208.0
accuracy,0.9903614457831326,0.9903614457831326,0.9903614457831326,0.9903614457831326
macro avg,0.988397778133945,0.9882704994630522,0.9881019082247392,7055.0
weighted avg,0.9907245601798426,0.9903614457831326,0.9903964863080967,7055.0
